years,tradeDate,close
2009,21-Apr-09,121.76
2009,20-Apr-09,120.5
2009,17-Apr-09,123.42
2009,16-Apr-09,121.45
2009,15-Apr-09,117.64
2009,14-Apr-09,118.31
2009,13-Apr-09,120.22
2009,10-Apr-09,119.57
2009,9-Apr-09,119.57
2009,8-Apr-09,116.32
2009,7-Apr-09,115
2009,6-Apr-09,118.45
2009,3-Apr-09,115.99
2009,2-Apr-09,112.71
2009,1-Apr-09,108.69
2009,31-Mar-09,105.12
2009,30-Mar-09,104.49
2009,27-Mar-09,106.85
2009,26-Mar-09,109.87
2009,25-Mar-09,106.49
2009,24-Mar-09,106.5
2009,23-Mar-09,107.66
2009,20-Mar-09,101.59
2009,19-Mar-09,101.62
2009,18-Mar-09,101.52
2009,17-Mar-09,99.66
2009,16-Mar-09,95.42
2009,13-Mar-09,95.93
2009,12-Mar-09,96.35
2009,11-Mar-09,92.68
2009,10-Mar-09,88.63
2009,9-Mar-09,83.11
2009,6-Mar-09,85.3
2009,5-Mar-09,88.84
2009,4-Mar-09,91.17
2009,3-Mar-09,88.37
2009,2-Mar-09,87.94
2009,27-Feb-09,89.31
2009,26-Feb-09,89.19
2009,25-Feb-09,91.16
2009,24-Feb-09,90.25
2009,23-Feb-09,86.95
2009,20-Feb-09,91.2
2009,19-Feb-09,90.64
2009,18-Feb-09,94.37
2009,17-Feb-09,94.53
2009,13-Feb-09,99.16
2009,12-Feb-09,99.27
2009,11-Feb-09,96.82
2009,10-Feb-09,97.83
2009,9-Feb-09,102.51
2009,6-Feb-09,99.72
2009,5-Feb-09,96.46
2009,4-Feb-09,93.55
2009,3-Feb-09,92.98
2009,2-Feb-09,91.51
2009,30-Jan-09,90.13
2009,29-Jan-09,93
2009,28-Jan-09,94.2
2009,27-Jan-09,90.73
2009,26-Jan-09,89.64
2009,23-Jan-09,88.36
2009,22-Jan-09,88.36
2009,21-Jan-09,82.83
2009,20-Jan-09,78.2
2009,16-Jan-09,82.33
2009,15-Jan-09,83.38
2009,14-Jan-09,85.33
2009,13-Jan-09,87.71
2009,12-Jan-09,88.66
2009,9-Jan-09,90.58
2009,8-Jan-09,92.7
2009,7-Jan-09,91.01
2009,6-Jan-09,93.02
2009,5-Jan-09,94.58
2009,2-Jan-09,90.75
2009,1-Jan-09,85.35
2008,31-Dec-08,85.35
2008,30-Dec-08,86.29
2008,29-Dec-08,86.61
2008,26-Dec-08,85.81
2008,25-Dec-08,85.04
2008,24-Dec-08,85.04
2008,23-Dec-08,86.38
2008,22-Dec-08,85.74
2008,19-Dec-08,90
2008,18-Dec-08,89.43
2008,17-Dec-08,89.16
2008,16-Dec-08,95.43
2008,15-Dec-08,94.75
2008,12-Dec-08,98.27
2008,11-Dec-08,95
2008,10-Dec-08,98.21
2008,9-Dec-08,100.06
2008,8-Dec-08,99.72
2008,5-Dec-08,94
2008,4-Dec-08,91.41
2008,3-Dec-08,95.9
2008,2-Dec-08,92.47
2008,1-Dec-08,88.93
2008,28-Nov-08,92.67
2008,27-Nov-08,95
2008,26-Nov-08,95
2008,25-Nov-08,90.8
2008,24-Nov-08,92.95
2008,21-Nov-08,82.58
2008,20-Nov-08,80.49
2008,19-Nov-08,86.29
2008,18-Nov-08,89.91
2008,17-Nov-08,88.14
2008,14-Nov-08,90.24
2008,13-Nov-08,96.44
2008,12-Nov-08,90.12
2008,11-Nov-08,94.77
2008,10-Nov-08,95.88
2008,7-Nov-08,98.24
2008,6-Nov-08,99.1
2008,5-Nov-08,103.3
2008,4-Nov-08,110.99
2008,3-Nov-08,106.96
2008,31-Oct-08,107.59
2008,30-Oct-08,111.04
2008,29-Oct-08,104.55
2008,28-Oct-08,99.91
2008,27-Oct-08,92.09
2008,24-Oct-08,96.38
2008,23-Oct-08,98.23
2008,22-Oct-08,96.87
2008,21-Oct-08,91.49
2008,20-Oct-08,98.44
2008,17-Oct-08,97.4
2008,16-Oct-08,101.89
2008,15-Oct-08,97.95
2008,14-Oct-08,104.08
2008,13-Oct-08,110.26
2008,10-Oct-08,96.8
2008,9-Oct-08,88.74
2008,8-Oct-08,89.79
2008,7-Oct-08,89.16
2008,6-Oct-08,98.14
2008,3-Oct-08,97.07
2008,2-Oct-08,100.1
2008,1-Oct-08,109.12
2008,30-Sep-08,113.66
2008,29-Sep-08,105.26
2008,26-Sep-08,128.24
2008,25-Sep-08,131.93
2008,24-Sep-08,128.71
2008,23-Sep-08,126.84
2008,22-Sep-08,131.05
2008,19-Sep-08,140.91
2008,18-Sep-08,134.09
2008,17-Sep-08,127.83
2008,16-Sep-08,139.88
2008,15-Sep-08,140.36
2008,12-Sep-08,148.94
2008,11-Sep-08,152.65
2008,10-Sep-08,151.61
2008,9-Sep-08,151.68
2008,8-Sep-08,157.92
2008,5-Sep-08,160.18
2008,4-Sep-08,161.22
